Возраст,Январь м.,Январь ж.,Февраль м.,Февраль ж.,Март м.,Март ж.,Апрель м.,Апрель ж.,Май м.,Май ж.,Июнь м.,Июнь ж.,Июль м.,Июль ж.,Август м.,Август ж.,Сентябрь м.,Сентябрь ж.,Октябрь м.,Октябрь ж.,Ноябрь м.,Ноябрь ж.,Декабрь м.,Декабрь ж.,В год м.,В год ж.,Всего
До 1 месяца,73,51,60,45,82,54,80,73,65,53,102,75*,218,145,301,242,179,137,102,96,109,65,101,66,1472,1102,2574
От 1 до 3 месяцев,74,39,63,46,88,60,71,46,61,47,94,83,226,153,346,291,195,172,119,104,83,71,121,88,1541,1200,2741
- 3 - 6 -,81,51,49,54,75,74,65,52,44,51,103,77,189,175,225,172,155,148,56,62,74,64,95,76,1211,1056,2267
- 6 - 1 года -,75,67,74,51,110,93,98,77,105,91,104,90,141,134,219,189,122,140,91,96,95,83,100,91,1334,1202,2536
- 1 - 2 лет -,76,53,53,36,74,64,64,61,85,65,80,70,56,54,76,59,68,68,58,67,66,75,70,74,826,746,1572
- 2 - 3 -,22,40,22,29,27,35,28,23,25,32,22,32,18,21,30,32,28,38,28,24,23,32,40,34,313,372,685
- 3 - 4 -,25,19,23,14,24,19,22,18,24,20,19,22,27,20,19,16,11,16,26,24,19,21,18,16,257,225,482
- 4 - 5 -,17,19,10,16,22,14,17,11,13,17,12,12,11,10,19,7,14,21,14,13,19,17,11,15,179,172,351
- 5 - 6 -,13,15,11,16,17,10,13,14,17,12,11,10,10,11,9,17,6,8,10,7,5,13,7,13,129,146,275
- 6 - 7 -,5,6,1,11,11,4,6,9,13,8,4,5,7,5,3,4,4,6,3,6,4,6,6,8,67,78,145
- 7 - 8 -,3,4,5,5,5,5,2,7,4,5,6,1,1,5,5,6,3,7,3,5,3,7,4,3,44,60,104
- 8 - 9 -,6,4,5,1,6,2,1,2,4,2,2,1,1,2,4,1,3,5,3,5,2,7,-,3,37,35,72
- 9 - 10 -,1,6,6,3,4,4,4,9,2,2,3,4,3,3,2,3,5,4,2,5,1,2,6,-,39,45,84
- 10 - 11 -,5,4,3,2,4,3,6,3,3,4,6,2,4,1,-,1,2,3,-,1,1,1,2,3,36,28,64
- 11 - 12 -,1,2,1,3,2,2,2,5,1,3,2,3,5,1,6,3,2,2,1,1,3,1,1,1,27,27,54
- 12 - 13 -,3,2,2,1,6,-,4,2,1,5,3,1,4,-,-,3,3,1,4,4,-,2,3,2,33,23,56
- 13 - 14 -,3,2,1,2,1,3,1,3,-,3,3,-,1,2,3,-,2,1,1,2,1,1,1,2,18,21,39
- 14 - 15 -,1,6,1,-,3,3,-,3,3,2,3,2,4,5,4,1,1,3,2,2,-,4,1,2,23,33,56
- 15 - 16 -,3,1,-,1,5,-,1,3,1,2,3,-,4,2,3,1,2,1,-,1,1,2,2,1,25,15,40
- 16 - 17 -,2,2,2,1,1,5,2,5,-,3,1,6,3,3,1,1,2,1,-,3,3,4,2,1,19,35,54
- 17 - 18 -,5,7,1,4,6,2,2,2,3,3,3,3,3,1,1,-,1,-,1,1,3,-,4,4,33,27,60
- 18 - 19 -,-,-,2,3,2,4,4,1,2,4,2,2,-,-,1,1,1,3,1,1,-,1,2,2,17,22,39
- 19 - 20 -,5,2,1,2,1,1,4,5,3,6,4,4,8,4,1,3,1,2,1,2,1,3,3,4,33,38,71
- 20 - 21 -,1,5,2,6,1,5,3,4,5,2,-,6,8,3,1,2,3,2,4,9,2,-,3,4,33,48,81
- 21 - 22 -,2,6,4,1,-,1,5,6,5,3,1,3,4,4,2,1,1,2,2,4,1,-,2,5,29,36,65
- 22 - 23 -,3,4,3,2,1,2,3,4,1,3,2,5,2,4,3,2,1,5,-,2,7,1,3,7,29,41,70
- 23 - 24 -,1,2,1,3,3,2,2,4,3,3,2,4,3,4,2,3,-,4,2,5,2,3,-,2,21,39,60
- 24 - 25 -,-,2,4,1,1,5,2,6,2,7,5,-,3,6,3,2,-,2,-,3,1,1,2,2,23,37,60
- 25 - 26 -,2,3,2,3,4,1,2,1,3,2,4,1,1,2,2,1,2,1,2,1,3,3,2,1,29,20,49
- 26 - 27 -,2,4,3,3,5,6,3,1,5,2,4,2,3,3,2,2,-,2,1,1,1,3,5,5,34,34,68
- 27 - 28 -,1,1,1,2,2,2,3,-,5,2,5,4,2,2,-,2,2,4,-,2,6,3,1,3,28,27,55
- 28 - 29 -,2,2,-,7,-,-,1,2,1,4,1,-,2,5,1,2,1,1,-,3,1,5,4,4,14,35,49
